NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00169183711,insulin_ndc,Insulin,"insulin human;insulin isophane;regular insulin, human",1605101;253181;253182,213442;311048,SBD;SCD,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension;insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Novolin]",direct,213442;311048,200706;200801,200901;202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169183717,insulin_ndc,Insulin,"insulin human;insulin isophane;regular insulin, human",1605101;253181;253182,213442;311048,SBD;SCD,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension;insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Novolin]",direct,213442;311048,200709;200801,200901;200904,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169183718,insulin_ndc,Insulin,"insulin human;insulin isophane;regular insulin, human",1605101;253181;253182,213442;311048,SBD;SCD,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension;insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Novolin]",direct,213442;311048,200706;200801,200901;201103,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169210011,insulin_ndc,Insulin,insulin aspart,51428,351926,SBD,"insulin aspart, human 100 UNT/ML Injectable Solution [NovoLog]",direct,351926,202105,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169210112,insulin_ndc,Insulin,insulin aspart,51428,1653204,SBD,"3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]",direct,1653204,202105,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169210125,insulin_ndc,Insulin,insulin aspart,51428,1653204,SBD,"3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]",direct,1653204,202105,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169220011,insulin_ndc,Insulin,insulin aspart,51428,977842,SBD,"insulin aspart protamine, human 70 UNT/ML / insulin aspart, human 30 UNT/ML Injectable Suspension [NovoLog Mix]",direct,977842,202106,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169220125,insulin_ndc,Insulin,insulin aspart,51428,977840,SBD,"3 ML insulin aspart protamine, human 70 UNT/ML / insulin aspart, human 30 UNT/ML Pen Injector [NovoLog Mix]",direct,977840,202106,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169231211,insulin_ndc,Insulin,insulin detemir,139825,484322;616238;847241,SBD;SCD,3 ML insulin detemir 100 UNT/ML Pen Injector [Levemir];insulin detemir 100 UNT/ML Injectable Solution;insulin detemir 100 UNT/ML Injectable Solution [Levemir],direct,484322;616238;847241,200710;200801;200905,200901;200904;201301,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169231321,insulin_ndc,Insulin,"insulin human;regular insulin, human",253182,311033;311034,SBD;SCD,"insulin, regular, human 100 UNT/ML Injectable Solution;insulin, regular, human 100 UNT/ML Injectable Solution [Novolin R]",direct,311033;311034,200804,200901;200904,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169231421,insulin_ndc,Insulin,insulin isophane,1605101;253181,311027;311028,SBD;SCD,"insulin isophane, human 100 UNT/ML Injectable Suspension;insulin isophane, human 100 UNT/ML Injectable Suspension [Novolin N]",direct,311027;311028,200811,200901;200904,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169231721,insulin_ndc,Insulin,"insulin human;insulin isophane;regular insulin, human",1605101;253181;253182,213442;311048,SBD;SCD,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension;insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Novolin]",direct,213442;311048,200801,200901;200904,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
00169244710,insulin_ndc,Insulin,insulin isophane,1605101,311052,SCD,"insulin isophane, pork 100 UNT/ML Injectable Suspension",direct;indirect,311031;311052,200706,200901;201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,"Broad insulin class, including analogs and human insulin products."
