NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
33342024911,other_diabetes_ndc,Other diabetes medication,repaglinide,73044,200256,SCD,repaglinide 1 MG Oral Tablet,direct,200256,202305,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
33342024944,other_diabetes_ndc,Other diabetes medication,repaglinide,73044,200256,SCD,repaglinide 1 MG Oral Tablet,direct,200256,202305,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
33342025011,other_diabetes_ndc,Other diabetes medication,repaglinide,73044,200258,SCD,repaglinide 2 MG Oral Tablet,direct,200258,202305,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
33342025044,other_diabetes_ndc,Other diabetes medication,repaglinide,73044,200258,SCD,repaglinide 2 MG Oral Tablet,direct,200258,202305,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
35356030602,other_diabetes_ndc,Other diabetes medication,pramlintide,139953,861045,SBD,1.5 ML pramlintide acetate 1 MG/ML Pen Injector [Symlin],direct,861045,201102,201801,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
35356030702,other_diabetes_ndc,Other diabetes medication,pramlintide,139953,861043,SBD,2.7 ML pramlintide acetate 1 MG/ML Pen Injector [Symlin],direct,861043,201102,201801,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
41284052301,other_diabetes_ndc,Other diabetes medication,acarbose,16681,200132,SCD,acarbose 25 MG Oral Tablet,direct,200132,200810,201206,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
41284052400,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199149,SCD,acarbose 50 MG Oral Tablet,direct,199149,200810,201206,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
41284052401,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199149,SCD,acarbose 50 MG Oral Tablet,direct,199149,200810,201206,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
41284052500,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199150,SCD,acarbose 100 MG Oral Tablet,direct,199150,200810,201206,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
