NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00169170930,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2736948,SBD,semaglutide 9 MG Oral Tablet [Ozempic],direct,2736948,202604,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169171530,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2736944,SBD,semaglutide 1.5 MG Oral Tablet [Ozempic],direct,2736944,202604,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169171590,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2736944,SBD,semaglutide 1.5 MG Oral Tablet [Ozempic],direct,2736944,202604,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169280013,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,1598268,SBD,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],direct,1598268,201502,201610,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169280015,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,1598268,SBD,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],direct,1598268,201502,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169280090,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,1598268,SBD,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],direct,1598268,201502,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169280097,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,1598268,SBD,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],direct,1598268,201505,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169291115,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,1860172,SBD,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],direct,1860172,201701,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169291190,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,1860172,SBD,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],direct,1860172,201701,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169291197,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,1860172,SBD,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],direct,1860172,201701,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
